nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Homeward+Bound+American+Families+in+the+Cold+War+Era)+and+a:(May)
		
"New York : Basic Books, c1985"	"http://suncat.csun.edu/record=b1464723~S9"" id=""recordnum""></a></div>"	nomatch
		
"New York : Basic Books, c1977"	"http://suncat.csun.edu/record=b1296711~S9"" id=""recordnum""></a></div>"	nomatch
		
"New York, Wiley [1970"	"http://suncat.csun.edu/record=b1026231~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
		
"[S.l.] : Chatham River Press ; New York, NY : Distributed <font color=RED><strong>by</strong></font> Crown Publishers, 1984"	"http://suncat.csun.edu/record=b2013139~S9"" id=""recordnum""></a></div>"	nomatch
		
"New York : American Heritage Pub. Co. : distribution by W. W. Norton, c1976"	"http://suncat.csun.edu/record=b1283260~S9"" id=""recordnum""></a></div>"	nomatch
		
"New York : Crescent Books, 1984"	"http://suncat.csun.edu/record=b1462239~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
		
"Berkeley : University  <font color=RED><strong>California</strong></font> Press, 1975, c1966"	"http://suncat.csun.edu/record=b1281763~S9"" id=""recordnum""></a></div>"	nomatch
		
"Berkeley : University  <font color=RED><strong>California</strong></font> Press, 1962"	"http://suncat.csun.edu/record=b1081831~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	"http://suncat.csun.edu/search~S9?/Xt:(The+Other+Californians+Prejudice+and+Discrimination+under+Spain,+Mexico,+and+the+United+States+to+1920)+and+a:(Heizer)"
		
"Berkeley, University  California Press, 1969"	"http://suncat.csun.edu/record=b1010053~S9"" id=""recordnum""></a></div>"	nomatch
		
"Berkeley : University of <font color=RED><strong>California</strong></font> Press, 1975, c1948"	"http://suncat.csun.edu/record=b1271253~S9"" id=""recordnum""></a></div>"	nomatch
		
"Berkeley : University  <font color=RED><strong>California</strong></font> Press, c1976"	"http://suncat.csun.edu/record=b1558415~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Los+Angeles+Biography+of+a+City)+and+a:(Caughey)
		
"Berkeley : University  <font color=RED><strong>California</strong></font> Press, c1977"	"http://suncat.csun.edu/record=b1332367~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	"http://suncat.csun.edu/search~S9?/Xt:(The+Other+Californians+Prejudice+and+Discrimination+under+Spain,+Mexico,+and+the+United+States+to+1920)+and+a:(Heizer)"
		
"Berkeley, Calif. : University of California Press, c1939, 1978 printing"	"http://suncat.csun.edu/record=b1511478~S9"" id=""recordnum""></a></div>"	nomatch
		
"Berkeley : University of <font color=RED><strong>California</strong></font> Press, c1976"	"http://suncat.csun.edu/record=b1300993~S9"" id=""recordnum""></a></div>"	nomatch
		
"Berkeley, Ca. : University of <font color=RED><strong>California</strong></font> Press, 1979"	"http://suncat.csun.edu/record=b1366278~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Land+in+California)+and+a:(Robinson)
		
"Berkeley : University  <font color=RED><strong>California</strong></font> Press, c1980"	"http://suncat.csun.edu/record=b1510035~S9"" id=""recordnum""></a></div>"	nomatch
		
"Berkeley : University of California Press, c1981"	"http://suncat.csun.edu/record=b1499663~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
		
"Berkeley : University of California Press, c1979"	"http://suncat.csun.edu/record=b1374511~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(California's+Utopian+Colonies)+and+a:(Hine)
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(A+Companion+to+California)+and+a:(Hart)
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
		
"xiv, 396 p. : ill. ; 27 cm"	"http://suncat.csun.edu/record=b1657671~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	"http://suncat.csun.edu/search~S9?/Xt:(I,+Candidate+for+Governor+And+How+I+Got+Licked)+and+a:(Sinclair)"
nopub	nolink	"http://suncat.csun.edu/search~S9?/Xt:(The+Fragmented+Metropolis+Los+Angeles,+1850-1930)+and+a:(Fogelson)"
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Richard+Neutra+and+the+Search+for+Modern+Architecture)+and+a:(Hines)
		
"xlv, 356 p. : ill. ; 21 cm"	"http://suncat.csun.edu/record=b1707130~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
		
"Berkeley : University  California Press, c1997"	"http://suncat.csun.edu/record=b1713255~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(The+City+Los+Angeles+and+Urban+Theory+at+the+End+of+the+Twentieth+Century)+and+a:(Scott)
		
"Berkeley : University  California Press, c1998"	"http://suncat.csun.edu/record=b1735213~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	"http://suncat.csun.edu/search~S9?/Xt:(Conquests+and+Historical+Identities+in+California,+1769-1936)+and+a:(Haas)"
nopub	nolink	"http://suncat.csun.edu/search~S9?/Xt:(Dark+Sweat,+White+Gold+California+Farm+Workers,+Cotton,+and+the+New+Deal)+and+a:(Weber)"
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Rebirth+Mexican+Los+Angeles+from+the+Great+Migration+to+the+Great+Depression)+and+a:(Monroy)
nopub	nolink	"http://suncat.csun.edu/search~S9?/Xt:(Race,+Police,+and+the+making+of+a+Political+Identity+Mexican+Americans+and+the+Los+Angeles+Police+Department,+1900-1945)+and+a:(Escobar)"
nopub	nolink	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Art+of+the+Gold+Rush)+and+a:(Driesbach)
nopub	nolink	nomatch
nopub	nolink	"http://suncat.csun.edu/search~S9?/Xt:(A+Voyage+to+California,+the+Sandwich+Islands,+and+Around+the+World+in+the+Years+1826-1829)+and+a:(Duhaut-Cilly)"
nopub	nolink	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(The+Culture+Broker+Franklin+D.+Murphy+and+the+Transformation+of+Los+Angeles)+and+a:(Davis)
		
"x, 364 p. : ill. (some col.) ; 26 cm"	"http://suncat.csun.edu/record=b1769536~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Behind+the+Label+Inequality+in+the+Los+Angeles+Apparel+Industry)+and+a:(Bonacich)
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Metropolis+in+the+Making+Los+Angeles+in+the+1920s)+and+a:(Sitton)
nopub	nolink	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Triumph+and+Scandal+in+the+Life+of+Oil+Tycoon+Edward+L.+Doheny)+and+a:(Davis)
nopub	nolink	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(L.A.+City+Limits+African+American+Los+Angeles..)+and+a:(Sides)
		
"Cambridge [Eng.] ; New York : Cambridge University Press, c1975"	"http://suncat.csun.edu/record=b1269367~S9"" id=""recordnum""></a></div>"	nomatch
		
"Cambridge [Cambridgeshire] ; New York : Cambridge University Press, 1986"	"http://suncat.csun.edu/record=b1482750~S9"" id=""recordnum""></a></div>"	nomatch
		
"New York : Dutton, 1979"	"http://suncat.csun.edu/record=b1372758~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Root+of+Bitterness+Documents+of+the+Social+History+of+American+Women)+and+a:(Cott)
nopub	nolink	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Encyclopedia+of+American+Art)+and+a:(*)
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Womanhood+in+America+From+Colonial+Times+to+the+Present)+and+a:(Ryan)
		
"Belmont, Calif., Wadsworth Pub. Co. [1972"	"http://suncat.csun.edu/record=b1138805~S9"" id=""recordnum""></a></div>"	nomatch
		
"Belmont : Wadsworth Pub. Co., c1996"	"http://suncat.csun.edu/record=b1717183~S9"" id=""recordnum""></a></div>"	nomatch
		
"New York : Knopf: distributed by Random House, 1975"	"http://suncat.csun.edu/record=b1227323~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Major+Problems+in+American+Women's+History)+and+a:(Norton)
nopub	nolink	nomatch
		
"xvi, 496 p. ; 24 cm"	"http://suncat.csun.edu/record=b2846143~S9"" id=""recordnum""></a></div>"	nomatch
		
"xiv, 584 p. : ill. ; 24 cm"	"http://suncat.csun.edu/record=b1742492~S9"" id=""recordnum""></a></div>"	nomatch
		
"Lexington, Mass. : D. C. Heath, c1971"	"http://suncat.csun.edu/record=b1749334~S9"" id=""recordnum""></a></div>"	nomatch
		
"Lexington, Mass., D.C. Heath [1973"	"http://suncat.csun.edu/record=b1179267~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
		
"New York : Viking, 1991"	"http://suncat.csun.edu/record=b1628885~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(World+of+Our+Fathers)+and+a:(Howe)
		
"New York : Simon and Schuster, c1979"	"http://suncat.csun.edu/record=b1499476~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(The+Timetables+of+American+History)+and+a:(Urdang)
nopub	nolink	nomatch
nopub	nolink	nomatch
		
"New York : Simon &amp; Schuster, c1991"	"http://suncat.csun.edu/record=b1627687~S9"" id=""recordnum""></a></div>"	nomatch
		
"New York : Simon &amp; Schuster, c1993"	"http://suncat.csun.edu/record=b1656815~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
		
"Glenview, Ill., Scott, Foresman [1973"	"http://suncat.csun.edu/record=b1169610~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
		
"Cambridge, Mass. : Harvard University Press, 1981"	"http://suncat.csun.edu/record=b1386817~S9"" id=""recordnum""></a></div>"	nomatch
		
"Cambridge, Mass. : Harvard University Press, 1975"	"http://suncat.csun.edu/record=b1258956~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Chicanos+in+a+Changing+Society)+and+a:(Camarillo)
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Incidents+in+the+Life+of+a+Slave+Girl)+and+a:(Jacobs)
		
"xxii, 773 p. ; 26 cm"	"http://suncat.csun.edu/record=b1380788~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
		
"New York : Knopf : Distributed by Random House, 2004"	"http://suncat.csun.edu/record=b1891610~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Hitler's+Willing+Executioners+Ordinary+Germans+and+the+Holocaust)+and+a:(Goldhagen)
nopub	nolink	nomatch
		
"New York : Morrow, 1979, c1980"	"http://suncat.csun.edu/record=b1366196~S9"" id=""recordnum""></a></div>"	nomatch
		
"New York : Thomas Y. Crowell Company, c1977"	"http://suncat.csun.edu/record=b1291260~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(World+War+II+Companion)+and+a:(*)
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(In+Tuscany)+and+a:(Mayes)
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(The+Chumash)+and+a:(Gibson)
nopub	nolink	nomatch
		
"Ithaca, N.Y. : Cornell University Press, c1993"	"http://suncat.csun.edu/record=b1742008~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
		
"x, 214 p. ; 24 cm"	"http://suncat.csun.edu/record=b1335067~S9"" id=""recordnum""></a></div>"	nomatch
		
"Baltimore : Johns Hopkins University Press, c1982"	"http://suncat.csun.edu/record=b1408918~S9"" id=""recordnum""></a></div>"	nomatch
